Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
pr,13012007,0,"Saturday, January 12, 2013 06:17:29 UTC",19.2245,-64.1782,3.0,91.00, 3,"Virgin Islands region"
pr,13012005,0,"Saturday, January 12, 2013 06:15:56 UTC",19.6520,-64.4291,3.2,27.00, 8,"Virgin Islands region"
pr,13012004,0,"Saturday, January 12, 2013 06:14:13 UTC",19.7028,-64.2526,3.4,51.00,17,"Virgin Islands region"
pr,13012006,0,"Saturday, January 12, 2013 06:00:04 UTC",19.6021,-64.2734,2.9,60.00, 5,"Virgin Islands region"
pr,13012003,0,"Saturday, January 12, 2013 05:54:46 UTC",19.7420,-64.2549,3.9,29.00,13,"Virgin Islands region"
uw,60490967,1,"Saturday, January 12, 2013 05:51:25 UTC",43.5390,-121.6613,1.2,0.00,11,"Oregon"
pr,13012002,0,"Saturday, January 12, 2013 05:42:14 UTC",19.6770,-64.4424,4.5,33.00,18,"Virgin Islands region"
ak,10637321,1,"Saturday, January 12, 2013 04:57:35 UTC",63.2746,-151.7756,2.1,4.90,16,"Central Alaska"
ak,10637315,1,"Saturday, January 12, 2013 04:28:47 UTC",62.8882,-148.8320,1.1,96.80,12,"Central Alaska"
ak,10637313,1,"Saturday, January 12, 2013 04:20:58 UTC",64.4118,-146.9348,1.1,6.60, 7,"Central Alaska"
ci,15272393,0,"Saturday, January 12, 2013 04:17:54 UTC",33.2810,-116.7810,1.0,11.50,48,"Southern California"
nc,71920256,0,"Saturday, January 12, 2013 04:15:07 UTC",38.7602,-122.7425,1.2,3.30,18,"Northern California"
uw,60490962,1,"Saturday, January 12, 2013 04:07:19 UTC",47.8762,-121.6547,1.1,12.10,10,"Washington"
ak,10637302,2,"Saturday, January 12, 2013 03:51:01 UTC",60.2866,-152.3090,2.2,86.60,43,"Southern Alaska"
ak,10637295,1,"Saturday, January 12, 2013 03:41:28 UTC",61.0789,-146.0751,2.2,38.60, 8,"Southern Alaska"
ci,15272385,0,"Saturday, January 12, 2013 03:27:54 UTC",33.3925,-116.3670,1.1,5.00,34,"Southern California"
us,b000emtd,6,"Saturday, January 12, 2013 03:25:05 UTC",31.8467,50.9603,5.4,10.00,206,"western Iran"
ak,10637286,1,"Saturday, January 12, 2013 03:19:31 UTC",59.9348,-151.3870,1.9,106.30,14,"Kenai Peninsula, Alaska"
uw,60490952,1,"Saturday, January 12, 2013 02:51:52 UTC",44.7133,-117.3547,1.2,13.10, 6,"Oregon"
nc,71920231,0,"Saturday, January 12, 2013 02:36:22 UTC",39.3352,-122.8375,1.9,8.60,20,"Northern California"
ci,15272377,0,"Saturday, January 12, 2013 02:25:30 UTC",34.0397,-116.7340,1.0,13.30,41,"Southern California"
pr,13012001,0,"Saturday, January 12, 2013 02:24:04 UTC",19.4976,-64.2155,3.2,71.00, 7,"Virgin Islands region"
ak,10637276,1,"Saturday, January 12, 2013 02:23:02 UTC",63.8357,-149.1697,1.5,10.80, 9,"Central Alaska"
